"weekly","segment","name","exchange","expiry","instrument_type","asset_symbol","underlying_symbol","instrument_key","lot_size","freeze_quantity","exchange_token","minimum_lot","asset_key","underlying_key","tick_size","asset_type","underlying_type","trading_symbol","strike_price","qty_multiplier"
false,"NSE_FO","NIFTY","NSE",1767119399000,"CE","NIFTY","NIFTY","NSE_FO|50971",75,1800.0,"50971",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 30 DEC 25",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"PE","NIFTY","NIFTY","NSE_FO|50972",75,1800.0,"50972",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 30 DEC 25",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1782844199000,"CE","NIFTY","NIFTY","NSE_FO|50973",75,1800.0,"50973",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 30 JUN 26",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1782844199000,"PE","NIFTY","NIFTY","NSE_FO|50976",75,1800.0,"50976",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 30 JUN 26",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1798568999000,"CE","NIFTY","NIFTY","NSE_FO|50978",75,1800.0,"50978",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 29 DEC 26",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1798568999000,"PE","NIFTY","NIFTY","NSE_FO|50979",75,1800.0,"50979",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 29 DEC 26",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1814293799000,"CE","NIFTY","NIFTY","NSE_FO|50981",75,1800.0,"50981",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 29 JUN 27",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1814293799000,"PE","NIFTY","NIFTY","NSE_FO|50984",75,1800.0,"50984",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 29 JUN 27",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"PE","NIFTY","NIFTY","NSE_FO|59114",75,1800.0,"59114",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27050 PE 28 OCT 25",27050.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"CE","NIFTY","NIFTY","NSE_FO|59115",75,1800.0,"59115",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27100 CE 28 OCT 25",27100.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"PE","NIFTY","NIFTY","NSE_FO|59116",75,1800.0,"59116",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27100 PE 28 OCT 25",27100.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"CE","NIFTY","NIFTY","NSE_FO|59117",75,1800.0,"59117",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27150 CE 28 OCT 25",27150.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"PE","NIFTY","NIFTY","NSE_FO|59110",75,1800.0,"59110",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26950 PE 28 OCT 25",26950.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"CE","NIFTY","NIFTY","NSE_FO|59111",75,1800.0,"59111",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 CE 28 OCT 25",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"PE","NIFTY","NIFTY","NSE_FO|59112",75,1800.0,"59112",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 28 OCT 25",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"CE","NIFTY","NIFTY","NSE_FO|59113",75,1800.0,"59113",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27050 CE 28 OCT 25",27050.0,1.0
false,"NSE_FO","NIFTY","NSE",1761676199000,"CE","NIFTY","NIFTY","NSE_FO|59107",75,1800.0,"59107",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26900 CE 28 OCT 25",26900.0,1.0
